Longitude;Latitude;Accuracy;Provider;1354802702175;Session
13.1303934;52.3932995;37.0;network;1354546582426;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130043195560575;52.39347130525857;30.0;gps;1354551144000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.12915463000536;52.39335018675774;50.0;gps;1354551145000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129849825054407;52.393332961946726;50.0;gps;1354551146000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129694843664765;52.393278144299984;50.0;gps;1354551147000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.12933836132288;52.39315748680383;50.0;gps;1354551148000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129492504522204;52.39303083624691;50.0;gps;1354551149000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129785032942891;52.393088336102664;50.0;gps;1354551150000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129577999934554;52.393052210099995;50.0;gps;1354551151000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129204837605357;52.39305782597512;50.0;gps;1354551152000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.128598742187023;52.39285921677947;50.0;gps;1354551153000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.12855021096766;52.39290443714708;50.0;gps;1354551154000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.128848187625408;52.39306905772537;50.0;gps;1354551155000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129094783216715;52.39314755424857;50.0;gps;1354551156000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.128925804048777;52.39324411377311;50.0;gps;1354551157000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129052119329572;52.393155810423195;50.0;gps;1354551158000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.12895430251956;52.393052000552416;50.0;gps;1354551159000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.12900023534894;52.39311834331602;50.0;gps;1354551160000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129074666649103;52.39338727667928;50.0;gps;1354551169000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129642624408007;52.39367004018277;50.0;gps;1354551170000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129605492576957;52.393828919157386;50.0;gps;1354551171000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130226004868746;52.393935369327664;50.0;gps;1354551172000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.169052908197045;52.412146856077015;50.0;gps;1354551251000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.169150976464152;52.412121878005564;50.0;gps;1354551252000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.169121639803052;52.41188739426434;50.0;gps;1354551253000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.20668145082891;52.42985718883574;50.0;gps;1354551301000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.23977479711175;52.4455857463181;50.0;gps;1354551350000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.134601442143321;52.394063360989094;50.0;gps;1354551453000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.133996604010463;52.39395309705287;50.0;gps;1354551454000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.133718073368073;52.3938030609861;50.0;gps;1354551455000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.13355328515172;52.39373541902751;50.0;gps;1354551456000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.133490923792124;52.39361010957509;50.0;gps;1354551457000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.13293319195509;52.3933939402923;50.0;gps;1354551458000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132563717663288;52.39333895500749;50.0;gps;1354551459000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132851719856262;52.39348853006959;50.0;gps;1354551460000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.133516320958734;52.393863620236516;50.0;gps;1354551461000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.133281962946057;52.393798367120326;50.0;gps;1354551462000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.133323034271598;52.39385762717575;50.0;gps;1354551463000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132629515603185;52.393496576696634;50.0;gps;1354551464000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132259957492352;52.39336003549397;50.0;gps;1354551465000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131716307252645;52.39327294752002;50.0;gps;1354551466000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131760731339455;52.39348429720849;50.0;gps;1354551467000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132271692156792;52.39371739793569;50.0;gps;1354551468000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132400857284665;52.39378600381315;50.0;gps;1354551469000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132217209786177;52.39391223527491;50.0;gps;1354551470000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131723012775183;52.39366551395506;50.0;gps;1354551471000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131301319226623;52.39360386505723;50.0;gps;1354551472000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131072828546166;52.39355294499546;50.0;gps;1354551473000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131421767175198;52.393730389885604;50.0;gps;1354551474000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131429562345147;52.39384002517909;50.0;gps;1354551475000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1315425503999;52.39392841234803;50.0;gps;1354551476000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131819237023592;52.393971369601786;50.0;gps;1354551477000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.132032807916403;52.394210756756365;50.0;gps;1354551478000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.131688814610243;52.39395657554269;50.0;gps;1354551479000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.1307378038764;52.39366090390831;50.0;gps;1354551480000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130600759759545;52.393599674105644;50.0;gps;1354551481000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130269590765238;52.393447710201144;50.0;gps;1354551482000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130345027893782;52.39353756420314;50.0;gps;1354551483000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130467990413308;52.393496786244214;50.0;gps;1354551484000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130669742822647;52.39355688448995;50.0;gps;1354551485000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130773175507784;52.39375138655305;50.0;gps;1354551486000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130855401977897;52.39364900160581;50.0;gps;1354551487000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.13114382326603;52.393830134533346;50.0;gps;1354551488000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130528256297112;52.393566691316664;50.0;gps;1354551489000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.130331197753549;52.393583161756396;50.0;gps;1354551490000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129337439313531;52.39326988812536;50.0;gps;1354551491000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.128937957808375;52.39303276408464;50.0;gps;1354551492000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129755277186632;52.39357050508261;50.0;gps;1354551496000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129900116473436;52.39363600965589;50.0;gps;1354551497000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129252614453435;52.39333455450833;50.0;gps;1354551498000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129341378808022;52.3931978456676;50.0;gps;1354551499000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129530809819698;52.393158660270274;50.0;gps;1354551500000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129595015197992;52.393248807638884;50.0;gps;1354551501000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129712026566267;52.393405213952065;50.0;gps;1354551502000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129704399034381;52.39343073684722;50.0;gps;1354551503000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.12960616312921;52.39350504241884;50.0;gps;1354551504000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.12915907241404;52.39339100662619;50.0;gps;1354551505000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
13.129789475351572;52.39361400716007;50.0;gps;1354551506000;b3d3a33f-ccdf-429f-9e7e-85d429f188cf
